EmployeeID,Date,Time In,Time Out,Hours Worked,Status
EMP035,02 03 2026,09:00,18:15,8,P
EMP021,13-03-2026,09:05,17:15,7.5 hrs,present
emp022,10 03 2026,,,9,PRESENT
EMP037,09.03.2026,08:05,16:00 PM,8,P
EMP014,10/03/2026,,,,A
EMP003,13 03 2026,09:00,18:00 PM,8,P
EMP039,11-03-2026,09:45,17:15,7.5,P
EMP025,09/03/2026,,,NA,A
emp012,02-03-2026,09:05 AM,,8,Present
emp002,13.03.2026,09:30,-,4,Half Day
emp005,11 03 2026,,,NA,ABSENT
EMP011,08/03/2026,,,NA,leave
EMP010,06-03-2026,08:05,17:00 PM,9 hrs, Present
EMP036 ,18/03/2026,,,,leave
EMP038,15-03-2026,10:00,19:00 PM,8,PRESENT
EMP007,02 03 2026,-,16:00,8,P
EMP025,03-03-2026,09.30,13.30,4,half day
 EMP015,08/03/2026,,,,leave
EMP027,14.03.2026,,-,8 hrs,Present
EMP018,11-03-2026,08:00,17:15,8,Present
emp007,14-03-2026,10:30 AM,18:15,8,PRESENT
EMP026,07-03-2026,09.00,18:00,8,P
EMP028,14.03.2026,,18:00,9,present
 EMP005,20.03.2026,10:00 AM,19:30,8, Present
EMP040,06/03/2026,08:05,16.15,8,Present
emp026,02/03/2026,08:55,17:00,8,present
EMP031,20.03.2026,09:30,17:00 PM,8,present
EMP034 ,11/03/2026,08:05,17:15 PM,8,PRESENT
EMP022,05-03-2026,,16:30 PM,9 hrs,PRESENT
emp026,11.03.2026,08:55,16:30,8,Present
,,,,,
EMP011,22 03 2026,09:30 AM,13:30,4 hrs,Half Day
EMP013,07-03-2026,09:45,18:00 PM,8 hrs,PRESENT
EMP036,03/03/2026,09:00,17:00,8,present
EMP005,22-03-2026,09:30,,8,Present
EMP040,02/03/2026,09:05,-,7.5,PRESENT
EMP025,01-03-2026,09.00,18:15 PM,7.5 hrs,present
 EMP018,15.03.2026,09:15,18.00,7.5,Present
emp023,14-03-2026,09:30,18:00 PM,8,PRESENT
EMP005,10/03/2026,08:55 AM,16:00,8,present
EMP040,15-03-2026,10:15 AM,18:30 PM,8 hrs,PRESENT
EMP039,05 03 2026,10:45,18:00,7.5 hrs,P
EMP003,05-03-2026,09:00 AM,18:30,9 hrs,present
EMP029,18-03-2026,08:00,16:15,8,PRESENT
EMP027,07.03.2026,08:15,17:00,7.5,PRESENT
EMP009,03 03 2026,,,-,ABSENT
EMP032 ,10-03-2026,08:30,17.15,7.5,Present
EMP038,22 03 2026,09:00,18:00 PM,8,P
EMP036,01-03-2026,09:00,17:30 PM,8,Present
EMP023,07.03.2026,09.45,17:00,7.5, Present
 EMP038,12-03-2026,10:30,19:30,8 hrs, Present
EMP031,02-03-2026,-,18:15,8 hrs, Present
EMP008,14 03 2026,09:05,17:00,8, Present
EMP002,05-03-2026,,,,Absent
EMP031,10 03 2026,,,,Leave 
EMP025,13/03/2026,08:30,-,8, Present
emp026,20/03/2026,,,NA,absent 
 EMP005,09.03.2026,,,,Absent
EMP032,02/03/2026,10:45 AM,18:15,7.5, Present
emp006,15/03/2026,09:45 AM,18:30,7.5,PRESENT
EMP040,05-03-2026,08:30 AM,16:15,7.5 hrs,present
EMP037,05.03.2026,10:30 AM,19:30,9,P
EMP027,13/03/2026,,,,leave
EMP011,17/03/2026,09:00 AM,,8,present
EMP021,14 03 2026,,,,Leave 
EMP022,22 03 2026,09:45,17:15,9 hrs,present
EMP030,14-03-2026,10:15,19:30 PM,9,PRESENT
EMP001,04-03-2026,,,NA,OL
EMP040,11.03.2026,09:45,,7.5,PRESENT
EMP014,08/03/2026,09:05,17.00,,Present
EMP004,14/03/2026,09:30 AM,18:00 PM,8,PRESENT
EMP015,20.03.2026,,18:00,7.5,P
EMP015,19 03 2026,09:00,18.30,8,PRESENT
emp017,10 03 2026,09.55,18:00,8 hrs,PRESENT
emp029,06/03/2026,,,-,ABSENT
EMP040,18-03-2026,08:05,17:00,9,PRESENT
 EMP038,03-03-2026,09:00 AM,18.30,8, Present
EMP012,19.03.2026,09.15,17:15,7.5,P
emp026,01-03-2026,08:00,-,7.5,P
EMP010,07.03.2026,09.15,18:15,8,Present
EMP021,01/03/2026,08:05,16:15,8,P
EMP015,18.03.2026,10:05,19:15 PM,8,present
EMP026,12.03.2026,09:55 AM,,, Present
 EMP032,08.03.2026,09:00,18:15 PM,9 hrs, Present
EMP037,02-03-2026,-,17:15,8, Present
EMP016,20/03/2026,09:30 AM,17:30 PM,9,P
EMP037,07/03/2026,08:15 AM,16:15,8,P
emp019,15-03-2026,09.45,18:30,8,present
EMP017 ,03/03/2026,,,NA,ABSENT
EMP001,16.03.2026,09:30,17:00,8,present
EMP035,03/03/2026,,13:00,4 hrs,half day
EMP019,21-03-2026,10:15,,9 hrs,Present
EMP039 ,20/03/2026,,17:15,9,present
EMP035,04 03 2026,,,,Absent
 EMP018,01 03 2026,09.55,17:15,8,P
EMP029,03.03.2026,,19:00 PM,7.5,P
emp007,15.03.2026,,,8 hrs,PRESENT
EMP029,10.03.2026,09.30,17.30,8,Present
EMP013,13 03 2026,09:05,18.15,8, Present
EMP013,19.03.2026,10:30,19:15,7.5, Present
emp026,14 03 2026,09:55,18:30,9 hrs,present
EMP007,06 03 2026,09:55,17:15,7.5 hrs,P
emp003,10.03.2026,08.45,16:15,7.5,Present
emp032,03.03.2026,,17:00,9,PRESENT
EMP030,12/03/2026,09:05,18:30,8,P
EMP019,18/03/2026,09:30,18:15 PM,8, Present
EMP018,22.03.2026,09:15,18:30,9,present
EMP002 ,01 03 2026,,18:30,,PRESENT
EMP037,11-03-2026,09.55,17:15,7.5,Present
EMP031,11 03 2026,,,-,leave
 EMP024,21.03.2026,09:00 AM,18:15,7.5 hrs,present
EMP020,05 03 2026,09:30,13:30,4,Half Day
EMP040,10 03 2026,09:45,17:15 PM,8, Present
EMP028,05-03-2026,09:15,18.15,8, Present
emp010,18/03/2026,,,,Leave 
EMP031,15 03 2026,10:45,19:30 PM,9,present
emp021,12/03/2026,,,,OL
EMP012,16 03 2026,10.30,19:15,8 hrs,present
EMP007,10/03/2026,10:05,18:00,9 hrs,Present
EMP003,07 03 2026,09:05,,8,P
 EMP032,16.03.2026,10:30 AM,18:15,8 hrs,P
EMP021,15.03.2026,09:15,,8,P
EMP030,17 03 2026,09:55,18:30,7.5 hrs,P
EMP028,08 03 2026,08:05,,8,present
emp004,15.03.2026,08:55 AM,17:15,9 hrs, Present
 EMP012,17.03.2026,09:55 AM,18:00,8 hrs, Present
EMP028,13/03/2026,,17:30,8,present
 EMP029,09/03/2026,10.15,-,8,PRESENT
EMP003,22/03/2026,08:30,16:15,8,Present
EMP032,22 03 2026,09:15,18:15,7.5, Present
EMP001,10 03 2026,,,4 hrs,HD
EMP029,17/03/2026,,19:00,7.5,present
 EMP021,17 03 2026,10:05,18:00,8, Present
EMP029,07-03-2026,,,NA,absent 
EMP020,19/03/2026,,18:15,8 hrs,Present
 EMP017,13 03 2026,09.05,17:00 PM,7.5,P
EMP032,05.03.2026,-,18:00 PM,9, Present
EMP023,22-03-2026,-,17.15,,Present
EMP012,11-03-2026,08.30,-,8,Present
EMP030,02 03 2026,10:45 AM,18:30,9,present
EMP028,16 03 2026,,,NA,On Leave
EMP003,20 03 2026,09:45,-,8 hrs,P
EMP026,19 03 2026,10:45,19:15 PM,8, Present
EMP019,22-03-2026,10:15 AM,18:00,8,PRESENT
EMP032,09/03/2026,,,,A
EMP014,11.03.2026,09:05,18:00,9,PRESENT
EMP017,15-03-2026,09.55,17:15 PM,9, Present
EMP012,14/03/2026,,,,On Leave
EMP023,20.03.2026,08:05,16.30,8,present
EMP038,20.03.2026,,18:00,9,P
EMP035,21.03.2026,08:15 AM,17.30,9 hrs, Present
EMP012,09/03/2026,08:05,17:00,8 hrs, Present
EMP032,21-03-2026,09:00 AM,17:15 PM,,present
EMP024,16/03/2026,,17:15,9 hrs, Present
EMP015,22/03/2026,09:45,17:00,8,PRESENT
EMP019,07 03 2026,10:30 AM,,8 hrs, Present
EMP023,19/03/2026,09:00,,4,Half Day
EMP036,20.03.2026,09.55,17:00,8,Present
EMP024,14.03.2026,09:05 AM,17:30,8 hrs,present
EMP003,08 03 2026,09.00,,8 hrs,PRESENT
EMP009,10/03/2026,09:00,18.30,8 hrs, Present
EMP033,08-03-2026,,18.15,8,Present
EMP018 ,16-03-2026,,,NA,On Leave
EMP025 ,02 03 2026,09:00,17:30,9 hrs, Present
EMP032,07 03 2026,09:30,18:15 PM,8, Present
EMP039,19.03.2026,08.45,,7.5 hrs,present
emp033,06.03.2026,,,7.5, Present
EMP009,12/03/2026,09:45,17:15 PM,8 hrs, Present
EMP024,18-03-2026,10:15 AM,18:15 PM,9,P
emp021,11 03 2026,09:15 AM,18:30,7.5,present
EMP038,16.03.2026,09:00,17.00,8,P
EMP010,22/03/2026,10:00,19:15,8,P
 EMP014,03-03-2026,10:45,18:00,9,Present
EMP013,06.03.2026,08:05,17:00,7.5,present
EMP002,03.03.2026,,,-,leave
emp017,05/03/2026,09.55,18:30,8,present
emp026,17-03-2026,09:15,18.15,,present
EMP022,11.03.2026,-,19:30,8, Present
 EMP030,03/03/2026,08:05,17:15,8 hrs,present
 EMP027,09 03 2026,09:05,18:15,,present
 EMP019,11.03.2026,10:05,19.30,8 hrs,PRESENT
EMP039 ,18/03/2026,09:15,17:00 PM,8, Present
EMP036,05-03-2026,08:45,17:00,9 hrs,Present
EMP004,08 03 2026,,19:15,9 hrs,P
EMP020,08/03/2026,-,17.30,8, Present
EMP033,18/03/2026,09.15,18:00,9, Present
EMP006,18-03-2026,-,18:30,7.5,PRESENT
EMP038,18 03 2026,09:30 AM,18:30,8,present
EMP037,19 03 2026,10:55,18:30,8,present
EMP005,21-03-2026,09:30,13:30,4,Half Day
 EMP002,04/03/2026,10:30,18:00 PM,,PRESENT
EMP033,12-03-2026,09:00 AM,17:30 PM,7.5,P
EMP037,06 03 2026,09:30,17:30,7.5,present
EMP020,13-03-2026,09:30,,7.5, Present
EMP015,10/03/2026,,,7.5 hrs,present
 EMP023,18 03 2026,08:30 AM,16:30,7.5, Present
EMP027,20.03.2026,,18.30,, Present
EMP025,15.03.2026,08.30,16:15,8,PRESENT
EMP028,03 03 2026,10.00,19.00,9 hrs,P
emp016,17 03 2026,09:30 AM,17:00,8 hrs,Present
EMP032,12.03.2026,08:45,17:30,7.5,P
emp018,07 03 2026,,,NA,OL
 EMP024,04/03/2026,08:00,17:30 PM,9 hrs,P
EMP010,20-03-2026,,,-,leave
EMP011,19/03/2026,09:05,18:30 PM,7.5 hrs,Present
emp037,12 03 2026,09:00,17:00,8 hrs,present
EMP020,04-03-2026,09:05,18:00,7.5, Present
EMP009,16/03/2026,09:05 AM,18:30,,P
emp009,15/03/2026,09.15,17.00,7.5,Present
EMP013,21.03.2026,,,,A
emp035,19.03.2026,08:45,16:30,8,present
EMP006,22 03 2026,09:45,17:15 PM,8 hrs,P
EMP031,03/03/2026,,,-,Absent
EMP012,10.03.2026,09:30 AM,17:15,8 hrs,PRESENT
emp027,19/03/2026,09:30 AM,18:15,8,P
EMP012 ,21 03 2026,,16:00,8 hrs,present
EMP004,04 03 2026,10:00 AM,18:15,8,P
EMP013 ,08.03.2026,09:30,13:30,4,half day
EMP028,06-03-2026,09:15,17:15,7.5 hrs,Present
EMP006,05.03.2026,09.55,17:00,9 hrs,P
EMP037,18/03/2026,09:05 AM,18:00,8,present
EMP025,18-03-2026,09:15,,9,PRESENT
EMP031,22 03 2026,09:15,18.15,9, Present
emp040,14-03-2026,,-,8,Present
EMP022 ,19/03/2026,10:30 AM,19:00 PM,8,present
EMP013,14 03 2026,10:45 AM,-,,P
EMP001,03-03-2026,08:30 AM,16.00,9,present
EMP011,09/03/2026,,16:15 PM,,present
EMP025,05 03 2026,10.55,18:30,9, Present
EMP033,03 03 2026,09:05,17:15,9,P
emp038,06.03.2026,09:05,18:15,8 hrs,PRESENT
EMP010,01-03-2026,,,-,On Leave
EMP022,02/03/2026,08:15 AM,16:30,9, Present
 EMP019,12 03 2026,08:05,16:15,9 hrs,PRESENT
EMP003 ,21-03-2026,09:55,17:30 PM,8,PRESENT
EMP020,17/03/2026,,,,ABSENT
emp030,16/03/2026,09:30 AM,17:30,9 hrs,Present
EMP017,20-03-2026,,,-,On Leave
EMP023,04/03/2026,09:00,,9 hrs, Present
emp038,09/03/2026,10:15,18:15,8,present
EMP022,04.03.2026,09:30,17:00 PM,8, Present
EMP013,09.03.2026,09:00,17:30,7.5,P
 EMP031,08.03.2026,09:15,17:30 PM,9,present
EMP009,01-03-2026,08.15,17.15,8 hrs, Present
EMP014,14 03 2026,,,-,A
EMP002,16.03.2026,09.15,18:00 PM,8,Present
EMP010,04.03.2026,09:45,18:00 PM,8,present
EMP011,16 03 2026,09:00,18:00,8, Present
emp007,17/03/2026,09:15,17:30 PM,7.5 hrs,PRESENT
 EMP010,19 03 2026,,,NA,absent 
EMP027,21/03/2026,08:15,17:15,7.5, Present
EMP038,14/03/2026,09:15,18:30 PM,9 hrs,P
 EMP031,01.03.2026,08:05,16:15 PM,7.5,present
EMP038,10 03 2026,09:00 AM,17:00,8,PRESENT
EMP014,16-03-2026,10:00,-,8,P
emp035,08 03 2026,10:15,18.15,8,present
EMP037,15-03-2026,10:55 AM,18:30 PM,,PRESENT
EMP033,13/03/2026,09:15 AM,17:00 PM,8,P
 EMP037,22/03/2026,10.15,19:15,7.5,PRESENT
EMP015,15 03 2026,09.15,18:15,7.5, Present
EMP030,10.03.2026,,,,absent 
EMP016,04.03.2026,09:15,17:30 PM,7.5 hrs,P
EMP009,17/03/2026,08:55 AM,16:15,8,PRESENT
EMP011 ,15 03 2026,,,NA,Leave 
EMP035,05-03-2026,09.45,17.30,7.5,Present
emp003,11 03 2026,-,17:00 PM,7.5,Present
EMP036,02/03/2026,,,,On Leave
EMP005,08-03-2026,09:55 AM,18:30,8,P
EMP007,09/03/2026,,18:15,9 hrs,Present
emp028,19-03-2026,08:45 AM,17:15,8,PRESENT
EMP036,10-03-2026,10:45,19:00,8,P
EMP031,06-03-2026,09.00,17:15,7.5,PRESENT
EMP036,17-03-2026,09:45 AM,17:15 PM,7.5 hrs,Present
EMP006,10 03 2026,,,NA,absent 
EMP019 ,03/03/2026,08:15,,8,P
emp003,18 03 2026,09:30,13:30,4 hrs,Half Day
EMP031,07 03 2026,09:45,-,9,PRESENT
EMP016,21-03-2026,09:55,18:00,8,PRESENT
EMP001,04-03-2026,,,NA,OL
EMP003,14-03-2026,09:00,17:15,7.5,Present
 EMP011,03-03-2026,10:15,18:00 PM,7.5 hrs, Present
 EMP021,06-03-2026,09:30,17:00,,present
EMP005,13 03 2026,08:05 AM,17:30 PM,7.5, Present
EMP035,15.03.2026,10:05,19:30,9,present
EMP011,01.03.2026,09:30 AM,18.30,7.5,P
EMP017,08 03 2026,08.00,17:15,8,PRESENT
EMP024,03.03.2026,09:45 AM,17.00,8,Present
,,,,,
EMP001,18.03.2026,10:00,18:00,8 hrs, Present
 EMP014,20 03 2026,09:05,17:00,7.5, Present
emp008,01.03.2026,10:00,18:15,7.5,present
EMP017,19 03 2026,08.05,16:15 PM,7.5 hrs,PRESENT
EMP027,22 03 2026,09.30,18:00,8,PRESENT
EMP012,06.03.2026,09.55,18:30,8, Present
EMP012,07-03-2026,09:05,17:30 PM,8,present
 EMP023,13-03-2026,09:15 AM,17:30 PM,8 hrs,Present
EMP033,14-03-2026,09:00,17:15,8,P
EMP034,22.03.2026,08:00,16:15,8 hrs, Present
emp002,09 03 2026,09:45,18:00,9,P
EMP022,03-03-2026,,,-,OL
EMP039,13 03 2026,,,-,OL
 EMP006,07/03/2026,09:45,18.15,8,Present
EMP020,01/03/2026,09:05,17:00 PM,7.5,P
EMP006,06-03-2026,,17:15,7.5 hrs,Present
EMP019,13-03-2026,10:05,18:15,7.5,Present
EMP027,12/03/2026,10:45,19.15,7.5,P
EMP022,16 03 2026,,18.15,8, Present
EMP002,06-03-2026,10:00,18:30,8,present
EMP014,21.03.2026,08:55,16:30,8,P
 EMP023,02.03.2026,09:55,17:15,7.5,PRESENT
EMP029,04.03.2026,09:45,18:30,9,P
emp010,02 03 2026,09:00,17.00,8, Present
EMP023,06-03-2026,,,,A
EMP027,08/03/2026,,,-,absent 
EMP037,04-03-2026,09.05,18:30,8,Present
EMP032,18/03/2026,,,-,Leave 
 EMP037,13-03-2026,-,17:30,8, Present
EMP015 ,06.03.2026,,,,ABSENT
EMP018,14-03-2026,09:00 AM,17:00,9 hrs,P
EMP013 ,16 03 2026,09:00,,7.5,present
EMP039,01.03.2026,10:05 AM,,9,present
EMP017,01.03.2026,09:15 AM,18.15,7.5 hrs, Present
EMP026,13.03.2026,09:15 AM,18:15,9,PRESENT
emp010,09/03/2026,,17:00,8,present
EMP018 ,05 03 2026,09:30,13:00 PM,4,Half Day
EMP031,12-03-2026,09.15,17:00 PM,7.5,PRESENT
emp032,15 03 2026,,,-,On Leave
EMP002,02.03.2026,,,NA,Leave 
 EMP016,10/03/2026,08.15,16:15 PM,8,PRESENT
 EMP028,15-03-2026,10:45 AM,19:30,9,PRESENT
EMP030,06/03/2026,09:15 AM,18:15 PM,9, Present
EMP007,22/03/2026,09:30,13:00,4,HD
EMP035,10-03-2026,09:05 AM,,7.5 hrs, Present
EMP033,19 03 2026,09:30 AM,18:30,8, Present
,,,,,
EMP022,01-03-2026,09:55 AM,17:00,8,PRESENT
EMP021,05-03-2026,09:15 AM,18:30 PM,7.5 hrs,P
EMP024,19.03.2026,09.15,18:15,8,present
EMP024,06 03 2026,08:55,,8, Present
emp012,20 03 2026,09:45,17:00,9 hrs, Present
emp004,16-03-2026,,17:00 PM,8 hrs,Present
EMP034,18/03/2026,09:30,18:15,8 hrs,present
 EMP039,15-03-2026,08:30,16:15,8,Present
EMP030,04-03-2026,10:05 AM,18:15 PM,9,present
EMP002,17 03 2026,09:45,18:15,8 hrs,PRESENT
EMP039,04.03.2026,09:30,18:00 PM,8,PRESENT
EMP016,03/03/2026,,,8,Present
EMP001,11.03.2026,10.00,19.15,8,present
emp022,21/03/2026,10:05 AM,18:30,,PRESENT
EMP015,11-03-2026,09:15,17.15,8 hrs, Present
EMP002,11.03.2026,10.30,19:00,,present
EMP025,22.03.2026,08:45,16:30 PM,7.5,present
emp034,07.03.2026,09:15,17:30,8,present
EMP018,08/03/2026,09:55,,9 hrs, Present
EMP013,17 03 2026,,,,ABSENT
emp034,16/03/2026,,,NA,On Leave
EMP033,21/03/2026,10:15 AM,18:15,7.5 hrs,Present
EMP036 ,22 03 2026,,,NA,absent 
emp028,02-03-2026,08:15 AM,16:00,7.5,PRESENT
EMP037,08/03/2026,,17:00,7.5,Present
EMP018,04 03 2026,09:15 AM,18:30 PM,8,present
EMP034,08-03-2026,09:30,18.30,8,Present
EMP024,01-03-2026,09:05,17:00,8, Present
EMP005,01.03.2026,,,,Leave 
emp010,15.03.2026,,17:00,9,Present
EMP015,13/03/2026,09:45,17:30 PM,8,P
emp034,12.03.2026,09:05,18:00 PM,8,P
EMP007,01-03-2026,08:05,16:00,9 hrs,PRESENT
emp016,16/03/2026,,,NA,A
 EMP002,22-03-2026,10:45,18:15,9, Present
EMP001,08 03 2026,09:55 AM,18:15 PM,9, Present
EMP025,11.03.2026,,17:00,9 hrs,P
 EMP023,08-03-2026,,,,leave
EMP034,09 03 2026,09:55,17.30,7.5,present
EMP009,11/03/2026,10:30,18:30,7.5 hrs,present
EMP026,16-03-2026,09.45,18:30,8,P
emp006,12-03-2026,09:00,-,8, Present
EMP002,19/03/2026,09:00,17.30,8,present
EMP014,18-03-2026,09.30,17:30,8, Present
 EMP024,11 03 2026,09:00 AM,,7.5,present
EMP040,16-03-2026,09:00 AM,17:15 PM,7.5,Present
EMP008,18-03-2026,09:15,17.00,8,PRESENT
EMP013,20-03-2026,,17:00 PM,7.5,PRESENT
EMP020,12.03.2026,10:55,18:00 PM,8, Present
EMP036 ,07-03-2026,,,,Leave 
EMP011,20 03 2026,10:55,18:30,8 hrs,Present
EMP030,05-03-2026,,17:15,8,present
EMP008,20 03 2026,10:15,,8 hrs,present
EMP025,12/03/2026,,,,ABSENT
EMP040,20.03.2026,10:30 AM,18:15 PM,7.5 hrs,Present
emp012,03/03/2026,09:00,17:00,8 hrs, Present
emp003,12-03-2026,-,17:00,8 hrs, Present
emp031,16-03-2026,09:15,18:15,7.5,PRESENT
emp004,05-03-2026,09:05,17:15,7.5 hrs,PRESENT
EMP030,20.03.2026,-,19:30,9,present
 EMP007,13/03/2026,10:45,19:30,8 hrs, Present
EMP005,02-03-2026,09:05,18:00,7.5,present
EMP008,12 03 2026,-,,7.5,Present
EMP018,18 03 2026,,,-,leave
EMP040,03 03 2026,09:30,17:30,8,PRESENT
EMP008,16/03/2026,-,,8 hrs, Present
EMP015,02.03.2026,,,-,Leave 
 EMP017,09/03/2026,,16:30,7.5,PRESENT
EMP017,07 03 2026,09:45,18:00 PM,8,Present
EMP005,05/03/2026,10:05,18.00,7.5, Present
EMP015,14-03-2026,09.05,,9,PRESENT
EMP020,02 03 2026,09:30,-,8,PRESENT
EMP019,16-03-2026,09.55,18:30,7.5 hrs,PRESENT
emp029,13-03-2026,10.55,19:15,7.5, Present
EMP035,20.03.2026,09:05,18:30,9 hrs,Present
EMP030,19/03/2026,08.30,16:30,8,Present
EMP018,02.03.2026,09:30 AM,17:00,8, Present
EMP018,21/03/2026,10:55,19:15,8 hrs,PRESENT
 EMP012,01-03-2026,08:55,,7.5, Present
EMP004,21.03.2026,09.00,,4,Half Day
EMP010,16 03 2026,,,,OL
EMP039,22/03/2026,,,-,OL
EMP016,14.03.2026,09.05,17.00,8,present
EMP008 ,19/03/2026,,18:00,7.5,PRESENT
EMP032,11.03.2026,10:30 AM,19:30,9,P
EMP014 ,05-03-2026,08.15,16.15,,P
emp020,07-03-2026,09:45 AM,,9,Present
EMP031,18/03/2026,09:30,13:00,4 hrs,half day
 EMP006,08 03 2026,09:15 AM,17:30,7.5,present
EMP006,09 03 2026,,18:15 PM,9 hrs, Present
 EMP008,09-03-2026,,,,A
 EMP026,05-03-2026,,,,ABSENT
EMP018 ,10-03-2026,08:05 AM,17:30,7.5,present
emp024,02/03/2026,09.45,17.30,8,Present
EMP018,20.03.2026,,18:15,8,P
emp019,05 03 2026,09:15 AM,18:30 PM,8,PRESENT
EMP019,08-03-2026,,18.00,8 hrs,present
emp031,19.03.2026,09:30,18:15 PM,9 hrs,P
EMP028,21.03.2026,,,-,leave
EMP008 ,08/03/2026,09:30 AM,18:00 PM,7.5,P
EMP015,12-03-2026,09:45,18:15,8,Present
emp006,04/03/2026,,,,Absent
EMP008 ,04 03 2026,09:55,17:15,8,present
EMP007,18/03/2026,09:30,18.15,7.5, Present
EMP024,07 03 2026,09:05,17:15 PM,8,Present
EMP023,15/03/2026,09:15 AM,18:15 PM,7.5,PRESENT
EMP030,13 03 2026,08.05,17:15 PM,9,present
EMP017,16/03/2026,08:00,,9,PRESENT
EMP002 ,10.03.2026,09:45,17.00,8,P
EMP018 ,03-03-2026,08:45,16:00,8 hrs, Present
EMP022,15.03.2026,09:45,17.15,8 hrs,PRESENT
 EMP040,12/03/2026,,,9, Present
EMP001,21-03-2026,,,NA,leave
EMP022,09.03.2026,09:00,17:00,8,present
EMP006,03 03 2026,10.00,18:15,7.5 hrs,present
EMP035,11.03.2026,09:55 AM,17.00,8,P
 EMP001,01/03/2026,08:00,,8,Present
EMP001 ,05 03 2026,09.00,18:15,9,present
 EMP034,19-03-2026,,16:30,9 hrs, Present
EMP039,02 03 2026,09:45,17:00,9 hrs,PRESENT
EMP012,16/03/2026,10.30,19:15,8 hrs,present
emp036,21 03 2026,09:05,17:30,7.5, Present
EMP007 ,03/03/2026,,,-,Absent
EMP036,08-03-2026,08:15,17.15,7.5 hrs,PRESENT
EMP032,17.03.2026,09:05,17.15,8,Present
EMP023 ,16 03 2026,09.30,17:30,9,P
EMP026,21 03 2026,09.45,18.00,7.5,Present
EMP016,13 03 2026,08:30 AM,16:00 PM,7.5,PRESENT
EMP027,18/03/2026,09:00,17.00,8 hrs, Present
EMP029,20-03-2026,,17:30,9 hrs,P
EMP014,07 03 2026,09:55,17:00,9,present
EMP017,12/03/2026,,18.30,7.5,Present
EMP039,08/03/2026,09:30,17:30,8,P
EMP001,15/03/2026,,18:30 PM,8,Present
EMP004,20.03.2026,,,,absent 
EMP017,18/03/2026,10:45 AM,19:00 PM,8,Present
EMP008,11/03/2026,,,-,Absent
EMP036 ,04 03 2026,09:30,17:15 PM,8 hrs,present
EMP016,05 03 2026,09.45,17:30,9,Present
