EmployeeID,Month,Basic Pay,Allowance,Deduction,Bonus
EMP033,Jan-26,"₹45,000",4092,,2000
EMP003,02/2026,"Rs.60,000",5237,"2,944","Rs.2,000"
EMP008,Jan-26,32000,"4,074",-,NA
EMP022,Feb-26,"28,000","4,030",NA,"Rs.5,000"
EMP019,Mar-26,35000,"₹3,966",NA,
EMP029,2026-01,"Rs.68,000","Rs.8,028",,"2,000"
 EMP028,2026-02,40000,4299,,5000
EMP022,2026-03,"28,000",3428,1645,"₹5,000"
EMP011,2026-02,"₹35,000","Rs.4,780",,"1,000"
emp002,January 2026,40000,4783,NA,"₹5,000"
EMP020,Feb-26,35000,3869,"1,455",-
EMP023,02/2026,"32,000","₹4,699",NA,NA
EMP003,01/2026,60000,6331,,2000
EMP025,February 2026,"40,000",3560,NA,0
EMP022,01/2026,28000,"₹3,596",,-
EMP009,03/2026,32000,3164,,-
EMP040,February 2026,32000,"3,854",-,2000
EMP026,2026-01,68000,"Rs.5,584","₹2,900",-
EMP015,January 2026,"₹52,000",4729,-,1000
EMP039,01/2026,"28,000",2493,"1,741","₹1,000"
EMP012,2026-03,28000,"4,112",NA,-
EMP004,02/2026,"35,000",3370,"Rs.1,597",NA
,,,,,
emp015,March 2026,"Rs.52,000",6361,-,"₹5,000"
EMP038,2026-01,"₹40,000",3837,-,"5,000"
EMP038 ,March 2026,40000,3829,NA,"Rs.5,000"
emp011,2026-01,35000,"₹4,215",NA,NA
EMP001,February 2026,"Rs.32,000","Rs.4,627",-,"₹5,000"
EMP026,Mar-26,68000,"₹8,651",,5000
emp033,February 2026,45000,5047,NA,"₹1,000"
EMP020,2026-01,35000,"Rs.4,855",,"2,000"
emp021,January 2026,40000,"3,981",2020,"₹1,000"
emp001,Jan-26,"₹32,000",2674,1096,2000
EMP031,2026-02,"₹68,000",9161,-,NA
EMP016,February 2026,"₹32,000",4005,-,0
EMP004,01/2026,"₹35,000",3835,-,"Rs.5,000"
EMP040,03/2026,"₹32,000","3,163",,
emp024,01/2026,"Rs.35,000",3394,"Rs.2,056",5000
EMP025,March 2026,40000,"4,984",-,-
